,name,cause
2560325,2560325B4U62_13370,One of the proteins don't contain protein. name in csv is: 2560325 CDS and his locus_tag is: B4U62_13370. 
2617470,2617470B4U62_13705,One of the proteins don't contain protein. name in csv is: 2617470 CDS and his locus_tag is: B4U62_13705. 
2699530,2699530B4U62_14220,One of the proteins don't contain protein. name in csv is: 2699530 CDS and his locus_tag is: B4U62_14220. 
2711127,2711127B4U62_14295,One of the proteins don't contain protein. name in csv is: 2711127 CDS and his locus_tag is: B4U62_14295. 
2713219,2713219B4U62_14310,One of the proteins don't contain protein. name in csv is: 2713219 CDS and his locus_tag is: B4U62_14310. 
2728666,2728666B4U62_14415,One of the proteins don't contain protein. name in csv is: 2728666 CDS and his locus_tag is: B4U62_14415. 
2732562,2732562B4U62_14440,One of the proteins don't contain protein. name in csv is: 2732562 CDS and his locus_tag is: B4U62_14440. 
2897182,2897182B4U62_15270,One of the proteins don't contain protein. name in csv is: 2897182 CDS and his locus_tag is: B4U62_15270. 
3203898,3203898B4U62_16885,One of the proteins don't contain protein. name in csv is: 3203898 CDS and his locus_tag is: B4U62_16885. 
3377033,3377033B4U62_17770,One of the proteins don't contain protein. name in csv is: 3377033 CDS and his locus_tag is: B4U62_17770. 
3405678,3405678B4U62_17925,One of the proteins don't contain protein. name in csv is: 3405678 CDS and his locus_tag is: B4U62_17925. 
3487829,3487829B4U62_18345,One of the proteins don't contain protein. name in csv is: 3487829 CDS and his locus_tag is: B4U62_18345. 
3496508,3496508B4U62_18390,One of the proteins don't contain protein. name in csv is: 3496508 CDS and his locus_tag is: B4U62_18390. 
3579692,3579692B4U62_18780,One of the proteins don't contain protein. name in csv is: 3579692 CDS and his locus_tag is: B4U62_18780. 
3627150,3627150B4U62_19010,One of the proteins don't contain protein. name in csv is: 3627150 CDS and his locus_tag is: B4U62_19010. 
3666661,3666661B4U62_19210,One of the proteins don't contain protein. name in csv is: 3666661 CDS and his locus_tag is: B4U62_19210. 
3769246,3769246B4U62_19750,One of the proteins don't contain protein. name in csv is: 3769246 CDS and his locus_tag is: B4U62_19750. 
3823242,3823242B4U62_20060,One of the proteins don't contain protein. name in csv is: 3823242 CDS and his locus_tag is: B4U62_20060. 
3851874,3851874B4U62_20205,One of the proteins don't contain protein. name in csv is: 3851874 CDS and his locus_tag is: B4U62_20205. 
3951687,3951687B4U62_20710,One of the proteins don't contain protein. name in csv is: 3951687 CDS and his locus_tag is: B4U62_20710. 
4007025,4007025B4U62_20985,One of the proteins don't contain protein. name in csv is: 4007025 CDS and his locus_tag is: B4U62_20985. 
4147348,4147348B4U62_21690,One of the proteins don't contain protein. name in csv is: 4147348 CDS and his locus_tag is: B4U62_21690. 
4172205,4172205B4U62_21845,One of the proteins don't contain protein. name in csv is: 4172205 CDS and his locus_tag is: B4U62_21845. 
4187454,4187454B4U62_21945,One of the proteins don't contain protein. name in csv is: 4187454 CDS and his locus_tag is: B4U62_21945. 
